,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,ProcessSize,TransistorSize,DieSize
937,CPU,130.0,35.0,131.0,55.0,2200,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
938,CPU,32.0,35.0,81.0,382.0,2267,Intel,Extremely Compact(),Approaching Subatomic(),Least Useable Space
939,CPU,12.0,180.0,213.0,19200.0,3500,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
940,CPU,90.0,84.0,109.0,125.0,3200,Intel,Compact(),Infinitesimal(),Least Useable Space
941,CPU,32.0,130.0,239.0,1170.0,3333,Intel,Extremely Compact(),Microminiature(),Most Useable Space
942,CPU,14.0,65.0,210.0,4950.0,3500,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
943,CPU,22.0,54.0,177.0,1400.0,3200,Intel,Extremely Compact(),Microscopic(),Considerable Useable Space
944,CPU,45.0,65.0,82.0,228.0,2500,Intel,Highly Compact(),Approaching Subatomic(),Least Useable Space
945,CPU,90.0,89.0,220.0,154.0,2400,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
946,CPU,90.0,67.0,156.0,154.0,2000,AMD,Compact(),Approaching Subatomic(),Some Usable Space
947,CPU,32.0,35.0,246.0,1178.0,2500,AMD,Extremely Compact(),Microminiature(),Most Useable Space
948,CPU,65.0,65.0,118.0,221.0,1800,AMD,Compact(),Approaching Subatomic(),Some Usable Space
949,CPU,45.0,82.0,296.0,774.0,2533,Intel,Highly Compact(),Microminiature(),Most Useable Space
950,CPU,130.0,89.0,131.0,55.0,3400,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
951,CPU,130.0,73.0,146.0,55.0,2600,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
952,CPU,90.0,62.0,183.0,154.0,2200,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
953,CPU,90.0,84.0,109.0,169.0,3000,Intel,Compact(),Approaching Subatomic(),Least Useable Space
954,CPU,65.0,65.0,76.0,105.0,1866,Intel,Compact(),Infinitesimal(),Least Useable Space
955,CPU,130.0,55.0,193.0,106.0,2000,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
956,CPU,130.0,62.0,101.0,63.0,1750,AMD,Slightly Compact(),Infinitesimal(),Least Useable Space
957,CPU,65.0,31.0,90.0,151.0,2333,Intel,Compact(),Approaching Subatomic(),Least Useable Space
958,CPU,130.0,89.0,144.0,69.0,2200,AMD,Slightly Compact(),Infinitesimal(),Some Usable Space
959,CPU,12.0,15.0,210.0,4940.0,2600,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
960,CPU,45.0,25.0,117.0,410.0,1800,AMD,Highly Compact(),Approaching Subatomic(),Some Usable Space
961,CPU,130.0,89.0,217.0,55.0,2790,Intel,Slightly Compact(),Infinitesimal(),Considerable Useable Space
962,CPU,90.0,115.0,109.0,125.0,3200,Intel,Compact(),Infinitesimal(),Least Useable Space
963,CPU,130.0,65.0,80.0,37.0,2000,AMD,Slightly Compact(),Infinitesimal(),Least Useable Space
964,CPU,65.0,65.0,143.0,291.0,1860,Intel,Compact(),Approaching Subatomic(),Some Usable Space
965,CPU,45.0,80.0,258.0,758.0,3100,AMD,Highly Compact(),Microminiature(),Most Useable Space
966,CPU,22.0,54.0,177.0,1400.0,2900,Intel,Extremely Compact(),Microscopic(),Considerable Useable Space
967,CPU,32.0,65.0,131.0,504.0,2600,Intel,Extremely Compact(),Microminiature(),Some Usable Space
968,CPU,90.0,125.0,235.0,227.0,2600,AMD,Compact(),Approaching Subatomic(),Most Useable Space
969,CPU,45.0,4.0,96.0,47.0,1600,Intel,Highly Compact(),Infinitesimal(),Least Useable Space
970,CPU,130.0,69.0,131.0,55.0,2600,Intel,Slightly Compact(),Infinitesimal(),Some Usable Space
971,CPU,12.0,15.0,210.0,4940.0,2100,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
972,CPU,22.0,47.0,264.0,1400.0,2600,Intel,Extremely Compact(),Microscopic(),Most Useable Space
973,CPU,130.0,35.0,193.0,106.0,2000,AMD,Slightly Compact(),Infinitesimal(),Considerable Useable Space
974,CPU,180.0,58.0,217.0,42.0,1500,Intel,Slightly Compact(),Infinitesimal(),Considerable Useable Space
975,CPU,14.0,15.0,210.0,4950.0,2300,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
976,CPU,45.0,82.0,296.0,774.0,2666,Intel,Highly Compact(),Microminiature(),Most Useable Space
977,CPU,45.0,95.0,263.0,731.0,2800,Intel,Highly Compact(),Microminiature(),Most Useable Space
978,CPU,180.0,72.0,217.0,42.0,2000,Intel,Slightly Compact(),Infinitesimal(),Considerable Useable Space
979,CPU,90.0,89.0,220.0,154.0,2400,AMD,Compact(),Approaching Subatomic(),Considerable Useable Space
980,CPU,65.0,75.0,143.0,291.0,2933,Intel,Compact(),Approaching Subatomic(),Some Usable Space
981,CPU,90.0,84.0,109.0,125.0,2667,Intel,Compact(),Infinitesimal(),Least Useable Space
982,CPU,130.0,97.0,237.0,286.0,3200,Intel,Slightly Compact(),Approaching Subatomic(),Most Useable Space
983,CPU,22.0,37.0,118.0,1400.0,2000,Intel,Extremely Compact(),Microscopic(),Some Usable Space
984,CPU,14.0,65.0,210.0,4950.0,3500,AMD,Extremely Compact(),Microscopic(),Considerable Useable Space
985,CPU,45.0,95.0,258.0,758.0,3000,AMD,Highly Compact(),Microminiature(),Most Useable Space
986,CPU,7.0,155.0,74.0,3800.0,3500,AMD,Extremely Compact(),Microscopic(),Least Useable Space
987,CPU,90.0,88.0,112.0,125.0,2800,Intel,Compact(),Infinitesimal(),Some Usable Space
988,CPU,65.0,22.0,77.0,122.0,1800,AMD,Compact(),Infinitesimal(),Least Useable Space
