,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
332,GPU,12.0,50.0,200.0,4700.0,1395,NVIDIA,6390.0,3195.0,99.84
333,GPU,12.0,50.0,200.0,4700.0,1035,NVIDIA,4915.0,2458.0,76.8
334,GPU,7.0,150.0,251.0,10300.0,1130,AMD,12780.0,6390.0,399.4
335,GPU,12.0,110.0,545.0,13600.0,1035,NVIDIA,18980.0,9492.0,296.6
336,GPU,7.0,15.0,156.0,9800.0,400,AMD,1792.0,896.0,56.0
337,GPU,12.0,175.0,232.0,5700.0,1469,AMD,7119.0,7119.0,445.0
338,GPU,14.0,35.0,103.0,2200.0,1124,AMD,1248.0,1248.0,78.02
339,GPU,14.0,50.0,132.0,3300.0,1557,NVIDIA,38.57,2468.0,77.14
340,GPU,12.0,250.0,754.0,18600.0,1350,NVIDIA,26900.0,13450.0,420.2
341,GPU,8.0,220.0,392.0,17400.0,1500,NVIDIA,20310.0,20310.0,317.4
342,GPU,12.0,18.0,200.0,4700.0,420,NVIDIA,5107.0,2554.0,79.8
343,GPU,14.0,35.0,123.0,3000.0,850,AMD,1858.0,1858.0,116.1
344,GPU,14.0,47.0,132.0,3300.0,1354,NVIDIA,22.27,1425.0,44.54
345,GPU,14.0,50.0,103.0,2200.0,1100,AMD,1505.0,1505.0,94.08
346,GPU,12.0,65.0,445.0,10800.0,1005,NVIDIA,11980.0,5990.0,187.2
