,Unnamed: 0,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
1995,4187,GPU,250.0,15.0,112.0,14.0,166,Other,,,
1996,4188,GPU,28.0,,123.0,1500.0,925,AMD,,1299.0,81.2
1997,4189,GPU,28.0,50.0,160.0,2080.0,930,AMD,,1428.0,89.28
1998,4190,GPU,150.0,,215.0,117.0,331,ATI,,,
1999,4191,GPU,28.0,225.0,148.0,1870.0,1033,NVIDIA,,1672.0,52.24
2000,4192,GPU,130.0,45.0,225.0,222.0,300,NVIDIA,,,
2001,4193,GPU,150.0,,120.0,60.0,250,ATI,,,
2002,4194,GPU,40.0,20.0,57.0,260.0,500,NVIDIA,,34.24,
2003,4195,GPU,14.0,15.0,210.0,4940.0,300,AMD,2458.0,1229.0,76.8
2004,4196,GPU,28.0,55.0,123.0,1500.0,700,AMD,,716.8,44.8
2005,4197,GPU,28.0,225.0,294.0,3540.0,745,NVIDIA,,2289.0,95.36
2006,4198,GPU,110.0,25.0,154.0,146.0,300,NVIDIA,,,
2007,4199,GPU,55.0,75.0,196.0,505.0,500,NVIDIA,,120.0,
2008,4200,GPU,180.0,23.0,80.0,30.0,183,ATI,,,
2009,4201,GPU,28.0,,160.0,2080.0,1000,AMD,,1971.0,123.2
2010,4202,GPU,40.0,210.0,520.0,3000.0,732,NVIDIA,,1312.0,164.0
2011,4203,GPU,28.0,,125.0,1550.0,900,AMD,752.6,752.6,47.04
2012,4204,GPU,28.0,32.0,118.0,1270.0,745,NVIDIA,,572.2,23.84
2013,4205,GPU,40.0,35.0,238.0,1170.0,590,NVIDIA,,339.8,28.32
2014,4206,GPU,40.0,19.0,79.0,292.0,523,NVIDIA,,100.4,8.368
2015,4207,GPU,90.0,75.0,288.0,321.0,500,ATI,,,
2016,4208,GPU,80.0,31.0,100.0,107.0,600,ATI,,,
2017,4209,GPU,130.0,91.0,289.0,160.0,493,ATI,,,
2018,4210,GPU,55.0,110.0,256.0,956.0,625,ATI,,1000.0,200.0
2019,4211,GPU,28.0,75.0,148.0,1870.0,1097,NVIDIA,,1505.0,47.04
