,Unnamed: 0.1,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor
1418,1418,CPU,90.0,22.0,125.0,114.0,1600,AMD
1419,1419,CPU,45.0,130.0,263.0,731.0,3066,Intel
1420,1420,CPU,32.0,17.0,131.0,504.0,1300,Intel
1421,1421,CPU,14.0,120.0,213.0,4800.0,2100,AMD
1422,1422,CPU,7.0,35.0,156.0,9800.0,3000,AMD
1423,1423,CPU,32.0,25.0,246.0,1178.0,2000,AMD
1424,1424,CPU,45.0,2.0,26.0,47.0,1100,Intel
1425,1425,CPU,32.0,125.0,315.0,1200.0,3800,AMD
1426,1426,CPU,22.0,45.0,160.0,1400.0,2500,Intel
1427,1427,CPU,22.0,54.0,177.0,1400.0,2200,Intel
1428,1428,CPU,45.0,65.0,82.0,228.0,2700,Intel
1429,1429,CPU,130.0,68.0,101.0,63.0,1833,AMD
1430,1430,CPU,32.0,100.0,246.0,1178.0,3800,AMD
1432,1432,CPU,32.0,100.0,228.0,1178.0,2600,AMD
1434,1434,CPU,90.0,89.0,156.0,154.0,2000,AMD
1435,1435,CPU,130.0,89.0,193.0,106.0,2200,AMD
1436,1436,CPU,32.0,45.0,216.0,1160.0,2200,Intel
1437,1437,CPU,45.0,95.0,346.0,904.0,2600,AMD
1439,1439,CPU,90.0,62.0,84.0,63.0,2000,AMD
1440,1440,CPU,90.0,35.0,183.0,154.0,2200,AMD
1441,1441,CPU,14.0,65.0,192.0,4800.0,3200,AMD
1442,1442,CPU,130.0,89.0,144.0,69.0,2000,AMD
1446,1446,CPU,130.0,32.0,144.0,69.0,1800,AMD
1447,1447,CPU,7.0,105.0,74.0,3800.0,3800,AMD
1448,1448,CPU,32.0,17.0,131.0,504.0,1200,Intel
1449,1449,CPU,90.0,25.0,125.0,114.0,2200,AMD
1450,1450,CPU,32.0,95.0,239.0,1170.0,3066,Intel
1451,1451,CPU,32.0,17.0,131.0,504.0,1500,Intel
1452,1452,CPU,65.0,125.0,285.0,450.0,2600,AMD
1453,1453,CPU,45.0,45.0,169.0,300.0,2700,AMD
1454,1454,CPU,130.0,45.0,101.0,63.0,1800,AMD
1455,1455,CPU,45.0,130.0,263.0,731.0,3200,Intel
1456,1456,CPU,65.0,65.0,77.0,105.0,2000,Intel
1457,1457,CPU,32.0,80.0,239.0,1170.0,2666,Intel
1458,1458,CPU,32.0,35.0,228.0,1178.0,2100,AMD
1459,1459,CPU,7.0,25.0,156.0,9800.0,2700,AMD
1461,1461,CPU,90.0,73.0,109.0,125.0,3060,Intel
1462,1462,CPU,90.0,35.0,103.0,81.0,1600,AMD
1464,1464,CPU,65.0,45.0,77.0,122.0,2700,AMD
1465,1465,CPU,130.0,89.0,193.0,106.0,2200,AMD
1466,1466,CPU,32.0,35.0,131.0,504.0,2100,Intel
1467,1467,CPU,45.0,45.0,169.0,300.0,2500,AMD
1468,1468,CPU,130.0,68.0,131.0,55.0,2800,Intel
1469,1469,CPU,32.0,35.0,81.0,384.0,2800,Intel
1470,1470,CPU,32.0,130.0,239.0,1170.0,3466,Intel
1471,1471,CPU,22.0,54.0,177.0,1400.0,3800,Intel
1473,1473,CPU,130.0,63.0,80.0,37.0,1800,AMD
1474,1474,CPU,28.0,65.0,246.0,1178.0,3500,AMD
1475,1475,CPU,130.0,89.0,193.0,105.0,2400,AMD
1478,1478,CPU,22.0,65.0,177.0,1400.0,2900,Intel
1480,1480,CPU,130.0,89.0,193.0,106.0,2400,AMD
1481,1481,CPU,32.0,115.0,316.0,2400.0,2100,AMD
1482,1482,CPU,22.0,140.0,356.0,2600.0,3500,Intel
1483,1483,CPU,90.0,32.0,125.0,114.0,1600,AMD
1484,1484,CPU,22.0,37.0,118.0,1400.0,2400,Intel
1487,1487,CPU,130.0,35.0,131.0,55.0,2600,Intel
1488,1488,CPU,65.0,35.0,77.0,105.0,1800,Intel
1491,1491,CPU,130.0,82.0,193.0,106.0,1400,AMD
1492,1492,CPU,32.0,45.0,216.0,1160.0,2400,Intel
1494,1494,CPU,65.0,65.0,77.0,105.0,2200,Intel
1495,1495,CPU,45.0,3.0,26.0,47.0,600,Intel
1497,1497,CPU,22.0,37.0,118.0,1400.0,2800,Intel
1500,1500,CPU,130.0,70.0,131.0,55.0,3067,Intel
1501,1501,CPU,32.0,35.0,246.0,1178.0,2900,AMD
1502,1502,CPU,45.0,60.0,263.0,731.0,2133,Intel
1503,1503,CPU,32.0,80.0,239.0,1170.0,2400,Intel
1504,1504,CPU,28.0,35.0,246.0,1178.0,3000,AMD
1505,1505,CPU,65.0,9.0,90.0,151.0,1066,Intel
1506,1506,CPU,65.0,31.0,90.0,151.0,1992,Intel
1507,1507,CPU,22.0,165.0,160.0,1400.0,2500,Intel
1509,1509,CPU,130.0,92.0,146.0,55.0,2600,Intel
1510,1510,CPU,14.0,79.0,160.0,1400.0,4100,Intel
1511,1511,CPU,130.0,62.0,101.0,63.0,1667,AMD
1512,1512,CPU,14.0,65.0,192.0,4800.0,3000,AMD
1513,1513,CPU,130.0,32.0,144.0,69.0,1800,AMD
1514,1514,CPU,32.0,130.0,435.0,2270.0,3300,Intel
1515,1515,CPU,45.0,95.0,346.0,904.0,2700,AMD
1516,1516,CPU,32.0,35.0,246.0,1178.0,1900,AMD
1517,1517,CPU,22.0,95.0,160.0,1400.0,2200,Intel
1518,1518,CPU,130.0,82.0,131.0,55.0,3000,Intel
